,t,dt,x,y,z,rw,rx,ry,rz,u,v,w,p,q,r,du,dv,dw,dp,dq,dr
0.0,34.369601247590396,0.03389016859195385,0.0,0.0,0.0,-0.7071067811865475,0.7071067811865477,-2.7755575615628907e-17,-5.551115123125783e-17,22.921316540902456,-1.7994293121987307e-15,3.552713678800501e-15,-1.8176320305283664,7.134625859486662e-17,0.0,9.810000000012371,-7.701303509853627e-16,1.7763568394002505e-15,0.0,-2.539741663782084e-16,0.0
0.033890168591952374,34.40349141618235,0.03389016859195385,0.776807281920725,2.220446049250313e-16,0.0,-0.6845471059286886,0.7289686274214116,-2.7755575615628914e-17,-5.551115123125783e-17,22.921316540902875,-1.9984014443252818e-15,3.552713678800501e-15,-1.8176320305283664,6.27390312783082e-17,0.0,9.810000000006237,-2.525757381022231e-15,2.842170943040401e-14,-1.965566541717489e-14,4.2838664805757547e-16,-5.923986466631253e-15
0.06778033718390475,34.4373815847743,0.03389016859195386,1.5536145638414784,4.440892098500626e-16,0.0,-0.6613118653236519,0.7501110696304596,-2.7755575615628914e-17,-5.551115123125783e-17,22.921316540902875,-2.3314683517128287e-15,3.552713678800501e-15,-1.8176320305283677,1.0038245004529308e-16,-4.0152980018117233e-16,9.809999999993924,2.275957200481571e-15,-5.062616992290714e-14,0.0,-9.256228854111333e-16,5.923986466631254e-15
0.10167050577585712,34.47127175336625,0.03389016859195385,2.3304218457622032,4.440892098500626e-16,0.0,-0.6374239897486897,0.7705132427757895,-2.0816681711721685e-17,-5.551115123125783e-17,22.92131654090246,-1.9984014443252818e-15,1.7763568394002505e-15,-1.8176320305283664,0.0,4.015298001811725e-16,9.809999999993977,1.0547118733938987e-14,-2.398081733190338e-14,2.948349812576233e-14,9.092571796031664e-31,-5.92398646663126e-15
0.1355606743678166,34.50516192195821,0.033890168591953845,3.1072291276829285,8.881784197001252e-16,0.0,-0.6129070536529765,0.7901550123756904,-2.7755575615628914e-17,-5.551115123125783e-17,22.921316540902467,-2.4424906541753444e-15,5.329070518200751e-15,-1.8176320305283657,1.0038245004529315e-16,-8.030596003623452e-16,9.810000000000054,-1.7430501486614958e-14,7.815970093361102e-14,-1.3103776944783262e-14,0.0,-5.923986466631256e-15
0.16945084295976898,34.539052090550165,0.03389016859195386,3.8840364096036533,8.881784197001252e-16,0.0,-0.5877852522924734,0.8090169943749476,-2.0816681711721685e-17,0.0,22.92131654090246,-3.1086244689504383e-15,5.329070518200751e-15,-1.8176320305283673,0.0,0.0,9.810000000005925,-2.4313884239290928e-14,-3.375077994860476e-14,-1.3103776944783257e-14,1.4809966166578127e-15,1.1847972933262511e-14
0.20334101155172135,34.57294225914212,0.03389016859195386,4.660843691524378,8.881784197001252e-16,0.0,-0.5620833778521306,0.8270805742745619,-2.7755575615628914e-17,-5.551115123125783e-17,22.921316540902872,-3.552713678800501e-15,0.0,-1.8176320305283666,2.0076490009058622e-16,0.0,9.810000000006081,1.1879386363489175e-14,-4.973799150320701e-14,-1.3103776944783257e-14,2.9619932333156278e-15,0.0
0.23723118014367373,34.60683242773407,0.033890168591953845,5.437650973445131,8.881784197001252e-16,0.0,-0.5358267949789967,0.8443279255020151,-2.7755575615628914e-17,-5.551115123125783e-17,22.921316540902883,-3.552713678800501e-15,3.552713678800501e-15,-1.8176320305283682,2.007649000905863e-16,0.0,9.809999999994027,5.10702591327572e-15,3.375077994860476e-14,-8.189860590489539e-14,-2.9619932333156278e-15,-1.1847972933262511e-14
0.2711213487356332,34.64072259632603,0.03389016859195386,6.214458255365857,1.7763568394002505e-15,0.0,-0.5090414157503713,0.8607420270039439,-2.7755575615628914e-17,-5.551115123125783e-17,22.92131654090246,-3.1086244689504383e-15,1.7763568394002505e-15,-1.8176320305283722,0.0,-8.030596003623449e-16,9.809999999993817,-1.3322676295501878e-15,0.0,1.0155427132207024e-13,-2.9619932333156278e-15,0.0
0.3050115173275856,34.67461276491798,0.033890168591953845,6.991265537286582,1.7763568394002505e-15,0.0,-0.4817536741017152,0.8763066800438637,-1.3877787807814457e-17,0.0,22.92131654090246,-3.552713678800501e-15,1.7763568394002505e-15,-1.8176320305283613,0.0,0.0,9.809999999999896,9.547918011776346e-15,-5.3290705182007514e-14,1.9655665417174893e-14,-5.9239864666312595e-15,1.1847972933262511e-14
0.33890168591953795,34.70850293350993,0.033890168591953845,7.7680728192073065,1.7763568394002505e-15,0.0,-0.45399049973954686,0.891006524188368,-1.3877787807814457e-17,0.0,22.92131654090246,-3.552713678800501e-15,0.0,-1.8176320305283709,-4.015298001811727e-16,0.0,9.809999999999686,-2.6867397195928788e-14,4.796163466380676e-14,3.2759442361958155e-15,0.0,2.369594586652501e-14
0.37279185451149033,34.742393102101886,0.03389016859195387,8.544880101128031,1.7763568394002505e-15,0.0,-0.42577929156507266,0.9048270524660196,-2.7755575615628914e-17,0.0,22.921316540902442,-4.440892098500626e-15,1.7763568394002505e-15,-1.817632030528361,0.0,1.606119200724689e-15,9.810000000006344,-2.5091040356528538e-14,4.884981308350689e-14,2.948349812576231e-14,5.923986466631255e-15,2.3695945866525013e-14
0.4066820231034427,34.77628327069384,0.033890168591953845,9.321687383048756,1.7763568394002505e-15,0.0,-0.3971478906347806,0.9177546256839813,-2.7755575615628914e-17,0.0,22.921316540902886,-4.440892098500626e-15,0.0,-1.8176320305283689,0.0,1.6061192007246903e-15,9.810000000006553,-1.7763568394002505e-15,8.881784197001252e-16,-1.1465804826685353e-13,0.0,-4.7391891733050045e-14
