,schedule,fcj,csv,total_difference,worst_manoeuvre,worst_elm,worst_elm_difference,whiten,scaling,dtw_dist,speed_factor,heading,speed,exponent
18,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006_raw_global_1.2000000000000002.csv,153.62800000000016,com,118,14.319000000000017,False,global,3684.54344581045,1.2000000000000002,5.57214810180447,11.92490406074172,0.2750912808054964
19,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006_raw_global_1.4000000000000004.csv,163.8650000000003,com,118,14.200000000000045,False,global,4405.117527665057,1.4000000000000004,5.57214810180447,11.92490406074172,0.2750912808054964
20,P21,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006.json,Belgium_Belgium_Sivery_EW_F3A_P21_21_11_07_00000006_raw_global_1.6.csv,183.2780000000001,com,118,14.119000000000028,False,global,5075.16153800073,1.6,5.57214810180447,11.92490406074172,0.2750912808054964
21,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global_0.4.csv,4030.9990000000003,hsq2,99,95.64100000000002,False,global,7908.942999602806,0.4,3.693884433707428,11.379095397632039,0.1409082973640733
22,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global_0.6000000000000001.csv,47.92300000000009,hump,29,4.158999999999992,False,global,4976.945244197266,0.6000000000000001,3.693884433707428,11.379095397632039,0.1409082973640733
23,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global_0.8.csv,26.651000000000295,loop,157,7.6410000000000196,False,global,4135.95534551045,0.8,3.693884433707428,11.379095397632039,0.1409082973640733
24,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global_1.0.csv,14.12100000000008,imm,66,2.4809999999999945,False,global,3650.6673356761735,1.0,3.693884433707428,11.379095397632039,0.1409082973640733
25,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global_1.2000000000000002.csv,23.801000000000002,loop,159,7.000999999999976,False,global,3430.3372661229773,1.2000000000000002,3.693884433707428,11.379095397632039,0.1409082973640733
26,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global_1.4000000000000004.csv,37.56300000000002,loop,159,7.439999999999998,False,global,3433.45282381954,1.4000000000000004,3.693884433707428,11.379095397632039,0.1409082973640733
27,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117_raw_global_1.6.csv,50.722999999999836,loop,159,7.639999999999986,False,global,3572.7452162126506,1.6,3.693884433707428,11.379095397632039,0.1409082973640733
28,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global_0.4.csv,856.645,loop,160,131.64,False,global,6854.435239630272,0.4,3.1093524950807625,2.27045040207536,-0.09544477824489254
29,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global_0.6000000000000001.csv,31.568000000000325,loop,159,4.680000000000007,False,global,3612.2681362050566,0.6000000000000001,3.1093524950807625,2.27045040207536,-0.09544477824489254
