t,t,dt,x,y,z,rw,rx,ry,rz,u,v,w,p,q,r,du,dv,dw,dp,dq,dr,manoeuvre,element,sub_element
0.0,241.734839,0.039146000000002346,142.4567497556101,163.51100985121343,255.1402740478516,-0.07851271828026785,-0.0687066677515992,-0.07375035035720826,-0.9918044432386068,27.036962574652428,0.16808857986211256,-1.1675698769309062,-0.7500916719436646,-0.0232984572649002,-0.0811153575778007,0.8413747549057007,2.5321218967437744,11.24761962890625,2.543765937143548,-0.17187339713126876,0.03586683919273282,iSp,entry_iSp,
0.03875899999999888,241.773598,0.039376000000004296,141.4000774149041,163.68225148903207,255.23416137695312,-0.08107227559922475,-0.06828139232283939,-0.05940843817855988,-0.9925903675762328,27.003098905607477,0.32144411857881305,-1.1119762483225197,-0.7018737196922302,-0.0231030788272619,-0.0806803852319717,0.9046443700790404,2.094367742538452,12.51123046875,1.4317648433077668,-0.35415584435671166,0.1944194531559201,iSp,entry_iSp,
0.07875200000000859,241.813591,0.04024150000000759,140.34390079779615,163.85189409627577,255.33177185058597,-0.08335208410391476,-0.06808109758176882,-0.046599836643481635,-0.9930990696107049,26.97636968137075,0.4481168155937276,-1.1043463543137872,-0.637337327003479,-0.051188938319683,-0.065804436802864,0.672754168510437,2.1333508491516118,10.692378044128418,0.021383702312840033,-0.1509172574068425,0.17899611867084078,iSp,entry_iSp,
0.11924200000001406,241.854081,0.04057099999999991,139.2880986601814,164.01954052623284,255.43130493164065,-0.08566626267366734,-0.06740613643259288,-0.03274442842419203,-0.9935017022955077,26.95547424532036,0.6001663273076145,-1.0237552372562715,-0.7001526951789856,-0.0352493524551391,-0.0662742406129837,0.9238385558128356,1.8117311000823972,11.198664665222168,-1.1793583545570598,0.1313264226987494,0.07013510230882053,iSp,entry_iSp,
0.15989400000000842,241.894733,0.04028350000000103,138.23487474254338,164.18492479362266,255.53495788574216,-0.0877838249380925,-0.06746197576042212,-0.018426777501647167,-0.9936817590685695,26.906265143509632,0.7458090939876207,-1.0326343467170533,-0.7330328226089478,-0.0405328497290611,-0.0601135343313217,0.5529805421829224,1.9387794733047483,11.945516586303713,0.053047667766883466,-0.1958171400575844,-0.026919449753383493,iSp,entry_iSp,
0.1998090000000161,241.934648,0.039771500000000515,137.18437459480398,164.3476638262299,255.6438751220703,-0.09001647267295937,-0.06684027514297373,-0.004633902427719487,-0.9936839797993058,26.876363155086676,0.8858162047479348,-0.914840776437828,-0.695878803730011,-0.0510257519781589,-0.0684430599212646,0.451140284538269,1.4045741558074951,11.994528770446776,1.2381532440620842,0.5094235232363378,-0.17369164260315956,iSp,entry_iSp,
0.23943700000000945,241.974276,0.03950100000000134,136.13473550760324,164.50749507295518,255.7564697265625,-0.09237228841880202,-0.06595842371996816,0.00902017730822656,-0.9934966726747674,26.831314775948698,1.066669685885603,-0.7678340427076498,-0.6345463991165161,-1.1774420272558928e-05,-0.073929488658905,0.69676673412323,1.9313163757324217,13.16120719909668,5.65059079221174,0.7280668513535777,0.24846359366497733,iSp,entry_iSp,
0.2788110000000188,242.01365,0.039854000000005385,135.08567456153793,164.66363847055084,255.87315368652344,-0.093864331067881,-0.06554303487154838,0.015192772227218505,-0.9933090092793486,26.786964899232753,1.2076221238032836,-0.7053784174447928,-0.249470829963684,0.0064929854124784,-0.0488139390945434,0.4525592625141144,2.084124565124512,11.667149543762209,8.099523147722833,0.7405977724349899,0.6886131675622207,iSp,entry_iSp,
0.3191450000000202,242.053984,0.04070849999999382,134.0373200950218,164.81636521693127,255.99172973632807,-0.0945015201177567,-0.06401338979815538,0.016208616976446103,-0.9933323473709634,26.753629850979777,1.2816354413747038,-0.5576925167593301,0.0110503919422626,0.0590197928249836,-0.0190415102988481,0.3945860266685486,0.9506515860557556,9.796276092529297,2.6517894483655327,1.334194873390874,0.4845991634054742,iSp,entry_iSp,
0.36022800000000643,242.095067,0.04035499999999104,132.9915150147629,164.96727401020644,256.111083984375,-0.09469449352855874,-0.06237254692589807,0.016304485053166517,-0.9934167725750978,26.70565434324699,1.3260190257901499,-0.5232749822456457,-0.0335700884461402,0.1151191294193267,-0.0093593290075659,0.5887925624847412,0.650429368019104,8.83292007446289,-0.6251743776680574,0.5024976279712751,0.13864396425921924,iSp,entry_iSp,
0.3998550000000023,242.134694,0.03924849999999935,131.94762585761305,165.11656117033408,256.22955322265625,-0.09494928681588954,-0.060183191904633976,0.016892272544754776,-0.9935176440053441,26.671276539496244,1.3613367652117148,-0.4895563100248248,-0.0394074320793151,0.0995763763785362,-0.007851555943489,0.2902082502841949,0.9145382046699524,7.276958465576172,-0.3101694632034015,0.05690876033784056,-0.026969854571429912,iSp,entry_iSp,
0.43872500000000514,242.173564,0.039456500000000005,130.90363556740067,165.26431468270158,256.3432312011719,-0.0953285545872522,-0.057573621940463476,0.01780926979244726,-0.9936199955684804,26.64689830273128,1.395074186832282,-0.433630700598725,-0.0579174607992172,0.1195862963795661,-0.0114763816818594,0.7085545063018799,0.0449164099991321,6.509398937225342,-0.4602760847327892,-0.28794648663532624,0.09126745182876077,iSp,entry_iSp,
0.4787680000000023,242.213607,0.04019150000000593,129.85923168747453,165.41115884250797,256.4515075683594,-0.09542611240027521,-0.05619501362527296,0.019011718213905748,-0.9936673367932379,26.61074787138189,1.423290782836666,-0.5055607606618391,-0.0757291987538337,0.0768536552786827,-0.000649367517326,0.6205708384513855,0.3992255330085754,7.375583648681641,0.6463731231755003,-1.2830137672964965,0.113067218735293,iSp,entry_iSp,
