t,t,dt,x,y,z,rw,rx,ry,rz,u,v,w,p,q,r,du,dv,dw,dp,dq,dr,manoeuvre,element
0.0,200.413567,0.04044150000000002,8.591288504268844,163.0781862720704,136.4705047607422,-0.055520282452709235,-0.3302242316921032,0.037994247609941204,-0.9415019223300388,25.355175374857286,0.9731314969609866,3.3618489154578413,0.0111593101173639,-0.0739066302776336,0.0089984480291605,6.967655181884766,-0.2758151590824127,8.904716491699219,-0.06760160865199853,-0.513638925368432,-0.023106996230277056,upL,e_1_pad1
0.04095399999999927,200.454521,0.04101249999999368,7.876986567042485,163.10024092721164,137.21229553222656,-0.055445674189574023,-0.3318837405955669,0.03839237110825701,-0.940906499853238,25.396954601371178,0.9626568096509811,3.3233308743144914,-0.018624909222126,-0.0987278819084167,0.0001184920038213,7.074582576751709,-0.0891868323087692,9.24046802520752,-0.8391002144839526,-0.8409265264147912,-0.12909461872149383,upL,e_1_pad1
0.08202499999998736,200.495592,0.04037599999999486,7.161921385251906,163.12034280010818,137.95779418945312,-0.05578627869754227,-0.33418589739642707,0.03963605342277697,-0.9400195301113953,25.460636583408565,0.9824476302078629,3.286128753761818,-0.0576678849756717,-0.1428836286067962,-0.0015905380714684,7.41556453704834,0.2130813598632812,10.151856422424316,-1.1858869693128182,-1.889058763919222,-0.0823952082089118,upL,e_1_pad1
0.12170599999998899,200.535273,0.03927550000000224,6.446838017969787,163.1385809395229,138.70831298828125,-0.05626450872862482,-0.33834046384872507,0.04169448886931791,-0.9384144687360485,25.560089663086305,0.980846035095307,3.1675584399713594,-0.1143876537680625,-0.2512731552124023,-0.0065350858494639,8.491964340209961,-0.4677256643772125,10.210596084594728,-2.032377885191608,-8.461064511459748,-0.30788170507564155,upL,e_1_pad1
0.16057599999999184,200.574143,0.03921400000000119,5.7319312547408625,163.15742924818784,139.4641571044922,-0.05733329968098355,-0.3506997773183595,0.04591173401610582,-0.9336031295188019,25.769951137930917,0.9861760715092576,2.6000401297798383,-0.2173132002353668,-0.8075087070465088,-0.0257749538868665,9.894124031066896,-0.4219517111778259,10.89241886138916,-1.032569550596002,-12.025087365030288,-0.5326607126497147,upL,e_1_pad1
0.20013399999999137,200.613701,0.03990650000000073,5.0193769403670725,163.17578575163844,140.22857666015625,-0.05855608382221439,-0.3714484561863687,0.05078074934372892,-0.9252127729246589,25.970807556374044,1.0532921021141253,1.7743629967985797,-0.1953700184822082,-1.1943767070770264,-0.048310600221157,9.325915336608888,0.1318674981594085,17.651580810546875,1.4524386584890678,-4.98668471156131,-0.20295793501618534,upL,e_1_pad1
0.2403889999999933,200.653956,0.040877000000008934,4.31959594629066,163.19104735415624,141.01068115234375,-0.05901314618313497,-0.39369165096288705,0.054233713245186055,-0.9157418685410806,26.132325958975578,1.1072067188521442,1.251540025125136,-0.1013897135853767,-1.2055109739303589,-0.0419736355543136,9.75596523284912,0.2131555676460266,26.92378807067871,1.7376546287181698,0.4424890648417468,0.11322519399034878,upL,e_1_pad1
0.28188800000000924,200.695455,0.04037549999999612,3.640638071593207,163.19930936993313,141.8201141357422,-0.05892195779213061,-0.41490841567161735,0.05653453639176351,-0.9061915643543406,26.2799822162346,1.1664612381719381,1.0247606322639875,-0.0533098019659519,-1.1582014560699463,-0.039053987711668,10.211820602416992,0.0497845783829689,32.207759857177734,-0.1623615953017803,1.6171768857777948,0.22838807662126498,upL,e_1_pad1
0.32113999999998555,200.734707,0.03907049999999401,2.9895226004839923,163.1992285527134,142.6605682373047,-0.05891622376556643,-0.43425953591136307,0.05933127430006724,-0.8968987517053227,26.42254778702958,1.245283898904876,1.0193334298220975,-0.1145005747675895,-1.0749223232269287,-0.0235310699790716,10.641676902770996,1.0794585943222046,34.839210510253906,30.356226634953998,4.1906563409843525,-3.9590950401446126,upL,e_1_pad1
0.36002899999999727,200.773596,0.039484500000000367,2.3725909457537124,163.18296869327696,143.53265380859375,-0.04848794874019291,-0.45201769825605453,0.02991183758318841,-0.8901877848958948,26.528642681143076,2.0512679233542013,1.233597997263633,2.318756103515625,-0.8307393789291382,-0.3484216332435608,10.112298011779783,13.65176010131836,36.91983413696289,82.66827737600096,2.853025243586893,-8.378473073076078,upL,e_1_pad1
0.4001089999999863,200.813676,0.04013100000000236,1.7945324477054552,163.14726041864395,144.43684387207028,-0.00810887275567751,-0.46955319019849845,-0.07434958757926807,-0.8797307505637597,26.560247111733748,3.2490467458045638,1.1015897115306625,6.413730621337891,-0.8496217727661133,-0.6851707100868225,9.795156478881836,7.647899627685547,39.86115264892578,67.12808737571801,-0.6092124633929388,-6.568384771761817,upL,
0.440291000000002,200.853858,0.040631500000003484,1.262110674803905,163.11667496250027,145.37274169921875,0.046069660458437856,-0.4794138058750379,-0.21205543191091047,-0.8503367717421255,26.505213224471742,4.317746997063224,0.49216937857667986,7.70659065246582,-0.8796359896659851,-0.8756133317947388,9.653367042541504,2.41847562789917,41.307090759277344,22.923320136865076,-1.4019696346310988,-4.397820559713299,upL,e_1_autorotation_0
0.48137199999999325,200.894939,0.04053700000000049,0.774983171359116,163.11205261647092,146.33708190917966,0.1023550940399865,-0.47707813829765144,-0.3578547621011022,-0.7961531748573422,26.35935115934508,5.18446555916554,-0.5636009130296014,8.276548385620117,-0.96355003118515,-1.042550802230835,9.89143180847168,2.253103494644165,41.50006484985352,11.399557038975733,-1.8940115844261836,-3.425116649220835,upL,e_1_autorotation_0
