t,t,dt,x,y,z,rw,rx,ry,rz,u,v,w,p,q,r,du,dv,dw,dp,dq,dr,manoeuvre,element
0.0,114.613568,0.040063499999995145,-167.85877879657372,-198.27501881100616,90.85718536376952,-0.003221828061243071,-0.9981245100326382,0.06091371917215266,-0.005162003337753629,25.51087793984776,-1.8872083089217169,1.0706020098580982,0.0215708576142787,0.0294415559619665,-0.0509538389742374,0.3345636427402496,0.555374801158905,-10.194580078125,-1.191963042452137,0.061184523621195044,-0.8356970269007353,1,1
0.040504999999996016,114.654073,0.040871000000002766,-166.82759781378488,-198.32479255829938,90.8174057006836,-0.0036144052537527326,-0.9982181404852444,0.05930916184461976,-0.00547091485452143,25.52051795804954,-1.8089898740411117,1.0345116640284477,-0.0561708696186542,0.0195694752037525,-0.0871321558952331,0.199916124343872,0.3017652928829193,-10.807280540466309,-0.763434675831746,-0.15342750421067203,-0.7629835411804736,1,1
0.08174200000000553,114.69531,0.03994649999999922,-165.79394787526923,-198.37416056858692,90.77679443359376,-0.004735664001659495,-0.9983333152606853,0.05719812422543252,-0.006038948222851952,25.54008340905016,-1.7308692497448446,1.021789434883722,-0.0408338196575641,0.0169000849127769,-0.1133216395974159,0.2753333747386932,-0.62398761510849,-11.170211791992188,0.5319326993472999,0.18791623607817445,-0.5001301427806927,1,1
0.12039799999999445,114.733966,0.03914449999999903,-164.75804101283953,-198.42207173670081,90.73599243164064,-0.005626007319310656,-0.9984699131498761,0.054646500836258105,-0.006320821110445093,25.54948318333502,-1.6277950866066684,1.0128298706581496,-0.0136731704697012,0.0345826670527458,-0.1270890533924102,0.3838637769222259,-0.7228000164031982,-10.751490592956545,0.40588035634613534,-0.0025378834583211223,-0.14932119232246552,1,1
0.1600310000000036,114.773599,0.0398050000000012,-163.72365959481067,-198.4686879113943,90.69865417480469,-0.00521132157662873,-0.9986028754555136,0.05220217085100071,-0.006331490954154665,25.556906050582867,-1.5454115774946153,0.9598365783929574,-0.0090578524395823,0.0167013965547084,-0.1250118464231491,0.2629981637001037,-0.6866655945777893,-10.673276901245115,0.23954839703836986,-0.2875259866023792,-0.06955385118284817,1,1
0.20000799999999685,114.813576,0.040177499999998645,-162.6906551621669,-198.513352392037,90.66436767578125,-0.005214578250218964,-0.9987320658686993,0.04960083191682618,-0.006856784453120544,25.573996065617187,-1.479438809453282,0.9552906618351361,0.005397277418524,0.0116927232593297,-0.1326262354850769,0.2130195498466491,-1.3178554773330688,-10.784563064575195,0.2930057763860568,0.12946875433168378,-0.09060362192239228,1,1
0.24038600000000088,114.853954,0.04073050000000222,-161.65880659037123,-198.5556575208261,90.6325912475586,-0.0052491653600096,-0.9988601094749482,0.0468936840969536,-0.007220358864900701,25.58056373418092,-1.408110567127098,0.9685108071561206,0.0144866267219185,0.0271048583090305,-0.1322923004627227,0.4171304106712341,-1.748861312866211,-10.510351181030272,-0.2785035151236243,0.23756782305795346,-0.06053719065336829,1,1
0.2814690000000013,114.895037,0.04007349999999832,-160.6241541284407,-198.5942670796108,90.59922790527344,-0.005091208624166828,-0.998984923813772,0.044177929238080615,-0.007189057710632678,25.594967781162413,-1.346585227369403,0.9436771157018088,-0.0172898974269628,0.0310452356934547,-0.1375576555728912,0.5247073173522949,-1.789012789726257,-10.128717422485352,-1.1352432676126132,-0.2759456602356948,-0.03521676854647113,1,1
0.3205329999999975,114.934101,0.039509999999999934,-159.58637482949018,-198.62869783231272,90.56436157226562,-0.0061231627873424704,-0.9990919914371441,0.04148134427986644,-0.007556428614166296,25.64255374364705,-1.3226272476043297,0.939323581890446,-0.0764997154474258,0.0049886414781212,-0.1351148188114166,1.186655044555664,-2.4112844467163086,-10.281660079956056,-0.9851332898156269,-0.02941074732797652,0.22896646819697716,1,1
0.36048900000000117,114.974057,0.039796500000001345,-158.5481318448281,-198.65959112426282,90.5319595336914,-0.008450162341315529,-0.9991736385375491,0.03894222156405097,-0.008012867202750467,25.711315812064704,-1.2797358527857454,0.9727550581052102,-0.0951351299881935,0.028721198439598,-0.1194647252559661,1.997406363487244,-2.3762428760528564,-10.173182487487791,0.8493648775304187,0.04680486548513406,0.2756245842323528,1,1
0.4001260000000002,115.013694,0.03994949999999875,-157.50842277925,-198.687066126421,90.50159454345705,-0.008535397715069707,-0.9992595724529851,0.0366922222502038,-0.007814985422628547,25.77932622152945,-1.2728517297723791,0.915546896909827,-0.0088962167501449,0.0087139811366796,-0.1131770312786102,1.817625403404236,-2.094178915023804,-10.637738227844238,0.8306854184404394,-0.073617693106687,0.16244800235902096,1,1
0.44038799999999867,115.053956,0.04062499999999858,-156.4672598473697,-198.71049622036193,90.47371673583984,-0.009506240575139198,-0.999324872292667,0.03448080450465124,-0.00840483440530509,25.8549967137575,-1.2653851099810307,0.9508678573463653,-0.0287641957402229,0.022839218378067,-0.1064852923154831,2.011889696121216,-2.772668600082397,-10.515443801879885,-0.14875865899600027,-0.09379099624661622,0.23069693492009913,1,1
0.48137599999999736,115.094944,0.0400460000000038,-155.42090925421556,-198.72844765542706,90.44466400146484,-0.009456713186947041,-0.9993929233333277,0.032569854711853974,-0.007984519868247466,25.92210952254003,-1.2874302576853247,0.8702203584065076,-0.0209828577935695,0.0010934626916423,-0.0944329053163528,1.8686386346817017,-2.342326402664185,-10.589712142944336,1.1953155702270117,-0.3030700196520538,0.2911015850129362,1,1
