,t,dt,x,y,z,rw,rx,ry,rz,u,v,w,p,q,r,du,dv,dw,dp,dq,dr
0.0,268.773573,0.039419500000008156,0.0,0.0,0.0,-0.7256804575349459,-0.6797725734820576,0.09226965312249719,0.052758452390656296,22.84853022172445,-3.0673949016539312,-4.611870154133008,-1.0101889371871948,-0.0486585199832916,-0.0291428714990615,8.839011192321777,-2.4750747680664062,-2.0695369243621826,-17.51594481220284,0.1467073744239616,-0.5149604642869012
0.03996599999999262,268.813539,0.040206000000011954,0.94677734375,-0.027932291971582257,-0.07225542287639541,-0.7460496584051817,-0.6572859992813977,0.09052942301276015,0.056474966097606216,22.831876205968864,-2.82270005204085,-4.744042498781461,-1.666501760482788,-0.0188814625144004,-0.043726772069931,9.236817359924316,-2.3488149642944336,-0.4911962151527405,-11.680302961257112,-0.23398660847904051,-0.30156755879670305
0.08041200000002391,268.853985,0.04071250000001214,1.8908233642578125,-0.05854576093404057,-0.1483399157928318,-0.7701590749013791,-0.6287098450350297,0.08848265464795671,0.06123501137856119,22.804977076960256,-2.4960363668181182,-4.892122642797794,-1.949425458908081,-0.0674738511443138,-0.0533925220370292,8.767122268676758,-1.850034236907959,0.2328515946865081,-5.6181665501915985,-0.21690156769445915,-0.09104229754596603
0.1213910000000169,268.894964,0.04046099999999342,2.8350982666015625,-0.0956138066094675,-0.2253426747645335,-0.7955942040294328,-0.5959712055416992,0.08620485087992147,0.06646034458920846,22.767171889233207,-2.0802408073709864,-5.025913451859786,-2.1239609718322754,-0.036542672663927,-0.0511398911476135,9.095260620117188,-1.001758337020874,1.3639907836914062,-1.7535147029713345,0.23729650814766223,0.2575175396720803
0.16133400000001075,268.934907,0.039564999999981865,3.778915405273409,-0.1411693598792617,-0.30139060244559346,-0.8199631897074713,-0.5618390770289589,0.08341094129234357,0.07099171696143827,22.748855747587832,-1.6715815735832673,-5.031319400295061,-2.0913233757019043,-0.0482713431119918,-0.0325536876916885,8.860145568847656,-1.0396724939346311,1.2503645420074463,-0.1402641237573629,-0.3883572059683986,0.350250847591677
0.20052099999998063,268.974094,0.039369499999992286,4.7186737060546875,-0.1908836945476433,-0.37890372700078956,-0.8428415649199555,-0.5265538376257328,0.08143855461619928,0.07567636866269922,22.699637524952344,-1.2820379525360175,-5.103182862015478,-2.1350600719451904,-0.0672733783721923,-0.0234245415776968,8.820807456970215,-0.5609159469604492,1.765347957611084,0.19557596647370348,0.2008404069263402,0.13669595048722757
0.24007299999999532,269.013646,0.03997950000001538,5.654388427734375,-0.24483337960942486,-0.4565081622143623,-0.8641654088330357,-0.4905928463920288,0.07854654642514924,0.07979463667942813,22.675544865587597,-0.8746833875233286,-5.037120294073613,-2.0759239196777344,-0.0324573703110218,-0.0217903852462768,9.127787590026855,-0.6503887176513672,1.745490312576294,0.7186400353481619,0.2567258890519266,0.2000544637049144
0.2804800000000114,269.054053,0.040709499999991294,6.5865325927734375,-0.3034238553458779,-0.5340216069655526,-0.8835283953103333,-0.4545930071927089,0.07586084858317287,0.08347440598803135,22.64167929040927,-0.5207331592966598,-5.031237184024469,-2.0775983333587646,-0.0467458330094814,-0.0074283867143094,8.76292610168457,-0.3452672362327575,-0.1181551739573478,-0.7631830869917208,0.11028113415864499,0.09589205796977203
0.3214919999999779,269.095065,0.04032549999999446,7.5184173583984375,-0.36885437226602424,-0.6123891270441106,-0.9018955437791489,-0.4167120581646564,0.07299392914488154,0.08722041569702235,22.59982076067159,-0.12787662403434608,-5.004515686627974,-2.1380615234375,-0.023478390648961,-0.0139829497784376,8.945027351379395,-0.0953747704625129,1.0030887126922607,0.021207609161384783,0.13195636817817216,-0.25263599171666934
0.3611310000000003,269.134704,0.03924550000002114,8.449859619140625,-0.44178183155450435,-0.6895526091517752,-0.9185838103601274,-0.37836132055291866,0.06924996833656116,0.09083521553819063,22.590415117944588,0.2561078467981557,-4.865702228586979,-2.07588791847229,-0.0361034199595451,-0.0278037320822477,9.160539627075195,-0.243477314710617,0.4729640781879425,0.6069466155576073,-0.23466673416713094,-0.21539264856687385
