,t,dt,x,y,z,rw,rx,ry,rz,u,v,w,p,q,r,du,dv,dw,dp,dq,dr
0.0,37.85106765687472,0.03349160050536191,63.53828721548741,0.0,4.988049279736023e-15,0.5000000000000001,0.5000000000000001,0.5,0.5,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.70954461021378,7.701303509843931e-16,-13.173833467420378,0.0,0.0,0.0
0.033491600505357155,37.884559257380076,0.03349160050536191,63.52351029373661,0.9688747784153692,4.9960036108132044e-15,0.4961728885597929,0.4961728885597929,0.5037980395537794,0.5037980395537794,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.80885923575895,7.701303509843882e-16,-13.024232354231529,0.0,0.0,0.0
0.06698320101072142,37.91805085788544,0.033491600505361915,63.49395988692891,1.93741154443066,4.9960036108132044e-15,0.492316927755856,0.492316927755856,0.5075667863887819,0.5075667863887819,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.805437208345024,7.701303509843804e-16,-12.874666034029476,0.0,0.0,0.0
0.10047480151608568,37.951542458390804,0.03349160050536191,63.449642867653054,2.905385043793302,5.10702591327572e-15,0.4884323417882987,0.4884323417882987,0.5113060213758476,0.5113060213758476,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.79973471362528,7.701303509843987e-16,-12.725169291708944,0.0,0.0,0.0
0.13396640202144283,37.98503405889616,0.0334916005053619,63.39056954279392,3.8725701532506216,5.10702591327572e-15,0.4845193565216051,0.4845193565216051,0.5150155271017465,0.5150155271017465,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.791753077838628,7.701303509843993e-16,-12.575776895983337,0.0,0.0,0.0
0.1674580025268071,38.018525659401526,0.033491600505361915,63.31675365113587,4.838741932907084,4.884981308350689e-15,0.4805781994715019,0.4805781994715019,0.5186950878818205,0.5186950878818205,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.781494157287536,7.701303509843904e-16,-12.426523591297743,0.0,0.0,0.0
0.20094960303217135,38.05201725990689,0.033491600505361915,63.228212360167,5.803675678539066,5.329070518200751e-15,0.47660909979172905,0.47660909979172905,0.5223444897725233,0.5223444897725233,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.76896033790671,7.701303509843924e-16,-12.277444089748572,0.0,0.0,0.0
0.2344412035375285,38.08550886041225,0.0334916005053619,63.12496626208691,6.767146973854695,4.884981308350689e-15,0.47261228826071694,0.47261228826071694,0.5259635205838605,0.5259635205838605,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.754154534708311,7.701303509843883e-16,-12.128573063010446,0.0,0.0,0.0
0.26793280404289277,38.11900046091761,0.033491600505361915,63.007039369017164,7.728931742686456,4.884981308350689e-15,0.46858799726816747,0.46858799726816747,0.5295519698917264,0.5295519698917264,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.737080191103251,7.701303509843932e-16,-11.979945134272548,0.0,0.0,0.0
0.30142440454825703,38.152492061422976,0.0334916005053619,62.874459107417074,8.688806301105359,4.440892098500626e-15,0.46453646080154204,0.46453646080154204,0.5331096290501397,0.5331096290501397,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.7177412781004,7.701303509843914e-16,-11.831594870186724,0.0,0.0,0.0
0.3349160050536142,38.18598366192833,0.0334916005053619,62.72725631170489,9.646547409443288,3.552713678800501e-15,0.4604579144324564,0.4604579144324564,0.5366362912033742,0.5366362912033742,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.696142293384204,7.701303509843908e-16,-11.68355677282779,0.0,0.0,0.0
0.36840760555897845,38.2194752624337,0.03349160050536193,62.565465217086576,10.601932324212187,3.552713678800501e-15,0.45635259530298455,0.45635259530298455,0.5401317512979871,0.5401317512979871,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.672288260267438,7.701303509843888e-16,-11.535865271669195,0.0,0.0,0.0
0.4018992060643427,38.25296686293906,0.0334916005053619,62.389123451593896,11.55473884990815,3.552713678800501e-15,0.45222074211186913,0.45222074211186913,0.5435958060947402,0.5435958060947402,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.64618472652326,7.701303509843944e-16,-11.38855471557579,0.0,0.0,0.0
0.43539080656969986,38.28645846344442,0.0334916005053619,62.1982720273328,12.504745390687422,4.440892098500626e-15,0.44806259510064395,0.44806259510064395,0.5470282541804184,0.5470282541804184,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.6178377630954,7.701303509843981e-16,-11.24165936481595,0.0,0.0,0.0
0.4688824070750641,38.31995006394978,0.0334916005053619,61.99295533094563,13.4517310019036,4.440892098500626e-15,0.4438783960396639,0.4438783960396639,0.55042889597954,0.55042889597954,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.587253962685436,7.701303509843935e-16,-11.095213383092531,0.0,0.0,0.0
0.5023740075804284,38.35344166445515,0.0334916005053619,61.77322111328762,14.395475441493062,4.440892098500626e-15,0.43966838821404913,0.43966838821404913,0.5537975337659605,0.5537975337659605,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.554440438220293,7.701303509843908e-16,-10.949250829598057,0.0,0.0,0.0
0.5358656080857855,38.386933264960504,0.03349160050536193,61.53912047832171,15.335759221197097,4.440892098500626e-15,0.4354328164095382,0.4354328164095382,0.5571339716743697,0.5571339716743697,28.932252962817138,0.0,0.0,0.0,0.45535147752243676,0.0,9.519404821197341,7.701303509843867e-16,-10.803805651093333,0.0,0.0,0.0
